Sample;CLUSTER;IWS_R1-R2;IWS_V12-R1;MOYDAY_R1-R2;MOYRG_V7-V12;MOYRG_VE-V7;NBDMAX1_R2-R6;NBDMIN1_R1-R2;NBDMIN1_R2-R6;NBDMIN1_V12-R1;NBDMIN1_V7-V12;SUMH2O_R1-R2;SUMH2O_R2-R6;SUMH2O_S-VE;SUMH2O_V7-V12;SUMH2O_VE-V7;SUMRG_R1-R2;SUMRG_R2-R6;SUMRG_V12-R1
464;4;0,019;0,0059;13,5556;22,261;21,9704;0;0;7;3;1;70,9;115,3;33,7;49,3;71,2;357,9394;503,7206;417,4531
465;4;0;0;13,1667;21,9473;22,5225;0;0;22;3;0;62,2;86,8;21,8;47,9;56,3;359,3862;537,8684;390,2692
466;4;0;0;13,625;20,6181;20,318;0;0;2;1;1;69,8;45,3;5,1;56;75,4;244,017;463,2451;314,7696
467;4;0,0872;0,0058;13,8235;26,2317;20,7818;0;0;0;0;3;58,5;28,1;9,6;6,7;37,3;355,6127;413,2624;334,022
468;4;0,0107;0;13,8571;23,6466;20,5161;1;2;2;0;7;35,7;44,2;25,2;39,5;46,8;339,7846;432,5785;356,7859
469;4;0,0062;0;13,15;24,8529;19,8196;0;0;1;1;1;34,2;64;42,8;4,9;73,8;275,5994;487,5005;416,5675
470;4;0;0;14,4667;20,9405;23,6987;0;0;1;3;0;67,2;10,6;13,2;16,8;66,4;302,0026;696,051;365,854
471;4;0;0;14,25;24,2257;22,7994;0;0;1;4;0;55,3;26,2;27,3;120,8;49;319,6663;704,1748;398,7594
472;4;0;0;13,5;20,2792;23,9241;0;0;2;2;3;59,5;1,8;66,3;32,6;11,8;286,2554;727,8523;352,1387
473;4;0;0;13,6429;22,5295;24,167;0;0;2;0;0;27,7;7,8;39,6;34;31,2;272,3069;677,9704;313,6777
474;4;0;0;14,2;21,8283;23,6987;0;0;1;2;1;60,8;19,5;13,2;17,2;66,4;259,6284;715,5277;374,2837
475;4;0,0179;0;13,8571;23,9346;22,868;1;0;0;2;0;43,6;60,3;1,3;19,1;73,8;284,2582;649,5016;369,4082
476;4;0;0;14;23,7637;22,7994;0;0;1;3;1;52,9;11,6;27,3;121,8;49;271,6304;747,3402;379,4065
477;4;0;0;13,5333;21,0213;23,9241;0;0;2;0;5;49,4;5,6;66,3;32,7;11,8;309,2195;686,7623;314,5806
478;4;0;0;13,6429;23,0308;24,167;0;0;2;0;0;15,4;8,8;39,6;34,4;31,2;288,9389;665,9759;300,6598
479;4;0;0;13,625;23,8423;18,9971;2;0;0;0;0;65;47,2;29,5;34,6;119,7;342,9709;673,7418;353,2302
480;4;0,2558;0;14,0714;23,2277;22,1944;1;0;0;1;1;22,7;73,9;1,5;8,9;38,9;296,0705;641,6428;367,3962
481;4;0,0569;0;13,5714;22,8907;22,868;1;0;0;1;1;27,3;59,8;1,3;27,6;73,8;272,5114;703,5786;358,2389
482;4;0;0;13,9333;22,1021;22,7994;0;0;1;3;1;52,4;11,6;27,3;161,2;49;284,0144;765,1278;393,8512
483;4;0;0;13,5;24,5686;18,6359;2;0;0;0;0;41,6;57,1;29,5;88,8;119,7;354,1561;705,6706;347,2337
484;4;0,1716;0;13,4667;21,6616;22,6903;7;0;0;2;0;53,3;38,5;3,8;37,4;152,7;324,7078;740,232;382,941
485;4;0,3408;0,0012;14,0714;22,0768;22,4282;1;0;0;0;1;22,7;73,9;1,5;14,9;38,9;290,1082;707,5991;361,121
486;4;0;0;13,2143;25,5278;18,8048;1;0;0;0;0;21,8;58,9;29,5;123,5;119,7;337,1947;727,339;354,0596
487;4;0,1876;0;13,6;22,1777;22,4223;8;0;0;1;1;52;52,3;3,8;33,8;164,8;322,5712;757,0649;338,2589
488;4;0;0,2426;13,5625;24,2908;22,6139;3;0;0;0;0;73,8;63;21,7;7,7;35,1;327,2465;910,8734;312,3446
489;4;0;0;13,6429;22,9351;22,1473;9;0;0;0;1;41,4;101,5;7,1;111,9;92,3;308,3339;857,1506;322,5996
490;4;0;0;13,6667;21,8298;22,9222;10;0;0;0;1;32;70,9;8,7;38,3;65,8;331,9978;843,6402;311,6718
491;4;0,0137;0;13,6923;21,6828;22,7379;4;0;0;0;2;40,1;25,3;6,3;46,3;105,2;316,084;765,3838;337,541
492;4;0;0;12,9333;25,7439;18,8048;1;0;0;0;0;11,4;47,7;29,5;123,5;119,7;331,1208;713,0916;350,0366
493;4;0;0;13,6429;20,9339;22,9222;11;0;0;0;1;39;62,5;8,7;122,7;65,8;308,6417;834,8015;338,0152
494;4;0,0192;0;13,6154;21,6804;22,7379;4;0;0;0;2;45,8;18,6;6,3;54,3;105,2;323,4344;753,6874;339,8404
495;4;0,0493;0;13,5385;21,4188;22,7379;4;0;0;0;2;39,7;18,6;6,3;87;105,2;330,2356;758,7194;336,8981
496;4;0;0;13,5;21,5623;20,4396;1;0;1;0;0;65,2;86,5;0,9;56;126,2;341,1259;547,1683;420,7878
497;4;0,1459;0;12,9286;26,3211;21,951;3;0;2;0;0;12,5;53,2;18;63;168;352,3842;558,2228;395,2922
498;4;0,3716;0,0062;13,5;27,8588;22,6405;0;0;0;1;0;40,5;51,8;5,1;21,8;25,3;329,7348;626,4295;331,3192
499;4;0,3716;0,0062;13,5;27,8588;22,6405;0;0;0;1;0;40,5;51,8;5,1;21,8;25,3;329,7348;626,4295;331,3192
500;4;0,5056;0,0486;13,3125;25,6105;22,6405;0;0;0;1;0;42,9;40;5,1;43,1;25,3;310,3452;665,4395;365,1512
501;4;0;0;12,5714;22,356;28,5363;0;0;2;0;0;49,9;93,9;0;82,2;190,7;259,992;695,1611;335,4746
502;4;0;0;12,6;22,1474;28,5363;0;0;2;0;0;42,7;95,4;0;125,3;190,7;278,9564;676,8281;308,5376
503;4;0,0456;0;12,8;25,2732;18,7845;2;1;6;0;0;36,1;47,2;16,7;35,8;115,4;317,8105;527,5912;378,9518
504;5;0;0;14;21,5201;21,768;0;0;3;1;0;84,2;40,7;20,9;13,5;215,3;344,1182;607,7642;415,872
505;5;0,04;0;13,8125;27,2116;19,6034;0;0;1;2;0;133,9;160,1;17,9;3;138,8;340,682;601,3429;377,0863
506;5;0;0;13,75;24,2666;21,9258;1;0;2;1;0;65,1;77,9;43,3;67,1;124,1;347,8759;651,564;412,2079
507;5;0;0,0227;13,75;24,167;19,6034;0;0;1;2;0;155,7;138,3;17,9;6,8;138,8;328,3312;609,9811;437,4925
508;5;0,3354;0;13,5714;24,1852;21,093;1;0;1;1;0;40,5;48,4;22,4;31,1;135,9;339,7921;655,0855;385,4887
509;5;0;0;13,625;24,4729;21,9258;1;0;3;1;0;51,7;73,1;43,3;68,9;124,1;327,7955;696,542;414,7254
510;5;0;0;14;20,5994;23,0833;1;0;2;1;1;108,8;233,5;8,8;78;137,2;333,9202;785,3494;401,5976
511;5;0;0;13,75;19,807;22,2456;0;0;1;0;1;143;199,6;4,9;121,2;81,1;383,5404;834,7644;363,7037
512;5;0,1111;0;14,1875;20,857;21,6485;1;1;3;0;1;160,6;145,2;16,1;60,2;59,9;370,4033;817,5308;376,9308
513;5;0,0049;0;13,7333;20,0286;21,1736;3;0;3;1;0;116,7;193,6;13,1;33,1;62,8;344,4624;832,347;415,0019
514;5;0,1812;0,1414;13,7059;22,1693;20,3656;1;0;4;1;0;201,7;140,4;19;23,3;94,2;350,7347;802,9987;405,3042
515;5;0,3581;0;13,3077;23,3759;21,3405;1;0;2;1;0;40,5;48,4;22,4;33,4;135,9;310,2566;759,1468;375,6107
516;5;0;0;13,5714;24,5016;22,0268;0;0;2;1;1;84,8;186,6;8,8;72,7;143,7;335,9095;821,4703;391,7081
517;5;0;0;13,75;22,3069;21,9375;0;0;1;0;0;113,2;208,3;4,9;109,2;94,8;367,5888;838,408;387,0025
518;5;0;0,1551;13,4;24,848;19,9805;1;0;4;1;0;114,3;127,6;19;24,1;99,9;345,0949;806,0825;407,2165
519;5;0,3978;0,0397;13,7333;20,0432;21,7491;1;0;0;0;0;83;141;14,6;54,8;63;363,0006;828,8435;385,8332
520;5;0,4113;0,0155;12,9286;21,7703;22,1375;1;0;16;0;1;45,8;45,2;22,4;42,9;135,9;329,0461;792,4309;371,8462
521;5;0;0;13,6;22,7787;21,3933;4;0;4;0;0;107;99,2;21,9;53,4;113,5;335,0531;771,1081;379,579
522;5;0,0701;0;13,6667;18,923;20,3683;2;0;1;1;0;75;74,1;15,3;61,2;110,7;367,9366;823,455;392,0764
523;5;0;0;13,1875;27,3351;21,2411;0;0;2;1;0;147,7;99,2;4,5;40,8;149,3;380,461;812,5852;447,4606
524;5;0;0;13,4;22,7756;20,8395;3;0;3;1;0;89,9;165,3;13,1;148,1;80,6;361,1502;824,0929;378,6865
525;5;0,3417;0,1252;13,6;21,2144;21,7491;1;0;0;0;0;123,8;100,2;14,6;61,3;63;335,0981;841,1479;384,7111
526;5;0,3729;0;14;24,267;19,426;8;0;0;0;0;30,9;33,4;41,2;57,1;111,4;380,6543;836,8117;365,963
527;5;0,0703;0;13,6667;20,1901;20,3683;1;0;1;1;0;77,5;71,6;15,3;61,2;110,7;354,938;802,706;388,2622
528;5;0;0;13,0625;27,5197;21,2411;0;1;4;1;0;112,4;99,2;4,5;40,8;149,3;380,2302;815,3719;439,7328
529;5;0,0613;0,0078;13,5333;20,5369;20,3683;1;0;1;1;0;89,9;59,3;15,3;114,2;110,7;330,2784;831,6644;399,2072
530;5;0,6422;0;14;27,7926;23,6729;6;0;0;0;0;4,3;46,1;46,5;44,3;71,1;394,0538;734,1138;380,7968
531;5;0;0;14,1579;24,0789;22,1912;2;5;13;1;5;79,2;176,8;6,9;46;67,8;382,1274;744,4224;383,908
532;5;0;0;13,8667;25,9958;20,9257;0;3;9;2;7;68;63;19,8;23,9;61,4;369,7963;771,0113;387,1955
533;5;0,0278;0;13,7333;25,4212;21,3004;3;0;0;0;0;104,8;46,6;24;45,2;85,4;368,6544;900,6314;390,7724
534;5;0;0;13,9375;22,9466;22,6182;2;2;21;4;5;76;184,9;6,9;51,5;67,8;329,1235;842,7665;398,538
535;5;0;0;14,2222;23,7589;24,0809;9;4;16;2;2;67,8;159,7;14,3;124,1;138,9;414,4547;878,9544;400,545
536;5;0,2374;0,0336;13,75;23,1824;20,6177;6;0;2;0;2;18,4;91,2;24,7;54,8;106,5;393,3695;929,3321;424,759
537;5;0;0;13,7647;25,4627;21,4158;0;0;10;1;0;64,4;109,6;88,4;79,5;116,6;383,4014;806,8644;382,3373
538;5;0;0;13,875;25,9573;21,3041;0;4;12;2;5;35,9;62;19,8;23,9;61,4;388,2312;804,2569;377,0809
539;5;0,0252;0;13,7059;26,7693;24,0764;5;2;21;1;0;107,1;156,5;81,7;102,8;49;375,2143;859,0468;378,1667
540;5;0;0;13,875;25,9573;21,3041;0;4;12;2;5;56,5;144,6;18;57,5;64,1;388,2312;804,2569;377,0809
541;5;0,5316;0;13,9375;25,3763;25,1402;17;2;0;0;0;43,8;43,7;8,5;104,9;22,8;385,6691;797,544;374,864
542;5;0,0507;0;13,8125;21,71;25,621;17;2;2;1;0;96,5;77,4;3,3;80,5;22,5;373,6051;815,0591;404,5021
