Sample;CLUSTER;IWS_F1-M0;IWS_M0-M3;MOYDAY_E1-F1;MOYDAY_F1-M0;MOYDAY_M0-M3;MOYDAY_VE-E1;MOYPTQ_F1-M0;MOYPTQ_M0-M3;MOYTMIN_S-VE;NBDMAX1_E1-F1;NBDMIN1_E1-F1;SUMH2O_E1-F1;SUMH2O_F1-M0;SUMH2O_M0-M3;SUMH2O_S-VE;SUMH2O_VE-E1;SUMRG_E1-F1;SUMRG_F1-M0
247;6;0,2983;0,9979;14,5294;13,9444;13,3793;13,3488;1,5849;1,5032;9,1571;0;0;42,5;13,4;10,6;6,3;49,8;413,1158;464,5454
248;6;0,2153;1;14,25;13,7647;13,4828;12,9091;1,4673;1,5636;11,7667;3;2;48,5;10,3;1,2;28,3;133,1;483,5819;424,7683
249;6;0;0,7477;14,15;13,9412;13,5357;12,7111;1,341;1,5457;11,1222;2;1;90;27,3;4,3;35,8;90,3;466,0254;401,5102
250;6;0;0,8283;13,8421;13,8667;13,6923;12,8684;1,4449;1,4873;7,6111;4;3;66,7;37;0;10,9;66,2;503,1641;423,9227
251;6;0,4823;1;14;13,8125;13,08;13,88;1,4992;1,3371;11,275;0;0;36,5;0;1,9;40,7;67,6;429,2582;436,3114
252;6;0,075;0,9543;13,9444;13,8824;13,4643;13,6897;1,4559;1,3335;9,8444;5;0;82,4;20,6;52;21,5;52,2;478,4112;443,7436
253;6;0,0649;0,965;13,625;13,6316;13,75;13,5946;1,44;1,2386;11,1111;0;0;4,7;58,4;9,2;3,3;18,2;402,6611;440,1799
254;6;0,3744;0,9898;13,8947;13,8824;13,6207;13,6774;1,4644;1,4006;9,9333;2;0;23,6;39,7;38,7;12,5;72,7;493,6338;443,6842
255;6;0;0,8773;13,8889;13,875;13,7857;13,4286;1,4547;1,4315;5,5438;0;0;11,6;86,6;24,6;18,2;43,1;450,7002;416,7072
256;6;0,0161;0,9359;13,8947;13,8824;13,7241;13,4286;1,4521;1,3929;5,5438;0;0;11,6;87,8;23,4;18,2;43,1;480,4157;444,5093
257;6;0,5271;0,8986;14,3043;14,3333;13,1818;13,3571;1,6276;1,4619;10,65;0;0;68,6;43,2;9,1;0,6;100;504,1598;465,3058
258;6;0,57065;0,90825;13,7434;13,8787;13,6469;13,5312;1,4346;1,1249;8,6091;0;2;2,9;25,7;74,9;4,9;20,1;478,63135;427,7477
259;6;0,3952;0,8982;13,619;13,7895;13,1212;13,6341;1,5613;1,5581;11,6625;5;0;33,4;96,4;25,4;0;53,1;511,285;456,2194
260;6;0,67475;1;13,7361;13,5;13,20575;13,4884;1,50325;1,5945;11,32;5;0;49,3;52,75;12,65;0;51,5;479,88975;443,07195
261;6;0,7124;1;13,75;13,4737;13,1212;13,4884;1,4994;1,5822;11,32;5;0;53,6;50,8;10,3;0;51,5;503,734;446,6552
262;6;0,0326;0,8219;13,8;13,7647;13,6897;13,5333;1,4994;1,2774;10,1667;0;0;77;31,5;51,7;10,1;89,7;390,0888;451,1704
263;6;0,489;0,9078;14,625;14;13,3448;13,3611;1,5319;1,3973;7,2167;0;0;36,8;25;74,8;4,8;37,3;378,4414;445,0349
264;6;0,5768;0,9481;14,3529;14;13,3103;12,8947;1,5492;1,4267;6,2556;0;0;25,2;12,7;55,3;13,5;82,8;419,7294;461,7374
265;6;0;0,845;13,65;13,6522;12,75;13,7419;1,4993;1,7021;12,05;7;0;51,2;68,2;7,3;15,5;59,3;486,4536;442,7856
266;7;0;0,6188;13,8947;13,8182;13,7931;13,0909;1,769;1,6462;12,5167;0;1;81;70,7;11,3;0;119,4;491,7946;547,4653
267;7;0,4551;1;14,6842;14,8571;13,5556;13,2791;1,8762;1,3411;7,2364;0;0;26,6;9,4;5,3;3,5;107,6;488,3188;537,4627
268;7;0;0,5886;13,65;13,8;13,4286;13;1,7857;1,4649;5,5687;0;0;61,1;48,4;49,6;78,2;224,1;474,07;519,0865
269;7;0;0,6558;13,7368;13,7647;13,1481;13,5172;1,5029;1,3459;7,7;0;1;72,7;31,5;46,9;20,1;179,7;509,5728;439,8696
270;7;0,1622;0,7701;13,7368;13,8;13,4643;13,2564;1,5561;1,176;6,7923;0;3;21,2;39,6;92,3;33,5;155,7;419,0875;459,7049
271;7;0;0,375;13,7778;13,8889;13,4444;13,3784;1,6826;1,3193;8,64;0;0;34,6;35,4;46;24,7;159,8;401,4979;479,9952
272;7;0;0,584;14,25;14,05;13,3704;13;1,8114;1,2847;8,4059;0;0;61,6;32;41,9;36,9;76,6;464,918;523,7622
273;7;0,0073;0,7126;14,2381;13,8;13,1786;13;1,7265;1,3372;7,6235;0;1;70,4;43,6;26,6;39,7;118,9;489,5453;508,8791
274;7;0;0,7737;13,7273;13,7368;13,1071;13,4839;1,6034;1,3105;8,475;0;0;61,9;40,8;19,9;26,8;116,9;478,6121;493,7702
275;7;0;0,822;13,9524;13,6842;13,2593;13,5;1,633;1,285;7,5308;0;0;30,8;44,9;11,7;20,6;119,5;447,1193;491,9962
276;7;0;0,4157;14,15;14,381;13,2857;12,9535;1,811;1,2639;6,255;0;0;44,1;34;59,1;53,7;74,6;404,694;553,3114
277;7;0;0,6623;13,84;13,7;12,6176;13,3429;1,6227;1,4515;11,1917;1;0;135,5;98,4;5,2;20,8;213,8;636,8198;479,6402
278;7;0,0163;0,9146;13,5556;13,8889;13,5926;12,8421;1,7545;1,4181;9,58;0;0;139;7,2;45,3;20,2;99,8;430,218;503,8024
279;7;0;0,8171;13,6364;13,85;13,5926;12,9722;1,741;1,4326;5,8154;0;6;59;28,5;30,2;22,4;94;529,0463;503,6206
280;7;0,013;0,8793;13,6667;13,85;13,4643;12,9722;1,7012;1,4173;5,8154;0;7;65,1;22,4;30,2;22,4;94;570,2731;519,9685
281;7;0,5277;0,9612;13,7273;14;13,4483;13,2791;1,7116;1,4383;5,5;0;4;113,4;0,3;48,2;8,1;138;473,7852;499,0039
282;7;0,4549;0,8101;14,4091;14,1905;12,6053;13,1569;1,4922;1,3033;7,0143;0;2;69,8;10,1;102,1;6,2;133,5;475,4686;445,5338
283;7;0;0,7043;13,75;13,8;13,5926;13,8158;1,7192;1,2676;8,0583;0;0;94,4;13,6;29,5;30,4;76,5;408,803;491,747
284;7;0;0,3524;14,1579;13,8182;13,1765;14,1765;1,6988;1,5743;8,2154;0;0;121,6;50,5;23,7;23,4;39,1;372,254;512,1068
285;7;0,0027;0,8704;13,8571;13,9524;12,6364;13,4706;1,9322;1,4601;9,6125;1;0;107,7;26,3;48,5;23,3;144,4;529,4545;559,5901
286;7;0,092;0,9874;13,4211;13,9412;13,3846;13,3;1,6994;1,3488;10,5;0;0;118,2;8,5;3,3;19,9;59,4;447,268;487,0249
287;7;0;0,8069;13,9;13,6471;13,931;12,7447;1,4964;1,588;10,2;2;4;160,2;38;8,9;30,6;178,6;496,521;442,6607
288;7;0;0,2603;14,125;13,9524;12,7879;13,2683;1,7337;1,3187;5,9667;0;0;46,5;50,1;48,7;33,8;94,5;429,5102;505,2888
289;7;0;0,3414;14,1538;13,8095;12,7143;13,2683;1,6767;1,3246;5,9667;0;0;46,6;50;48,7;33,8;94,5;477,4144;488,5326
290;7;0,2204;0,998;14,4118;13,8947;13,1333;13,4524;1,7506;1,5397;7,04;0;0;24,5;4,8;9,2;36,5;176,7;393,4537;511,8008
